image_size	block_size	grid_size	time
12252246	1	12252246	0.97831
12252246	4	3063776	0.67303
12252246	9	1361837	0.65749
12252246	16	766480	0.66041
12252246	25	490776	0.63373
12252246	36	341055	0.65073
12252246	49	250717	0.70296
12252246	64	191888	0.65247
12252246	81	151686	0.62426
12252246	100	122694	0.66564
12252246	121	101400	0.66238
12252246	144	85562	0.67078
12252246	169	72600	0.65977
12252246	196	62935	0.67234
12252246	225	54626	0.75174
12252246	256	47972	0.65452
12252246	289	42757	0.65471
12252246	324	38001	0.71889
12252246	361	34126	0.63145
12252246	400	30745	0.65385
12252246	441	28085	0.65917
12252246	484	25350	0.66377
12252246	529	23375	0.66696
12252246	576	21480	0.65979
12252246	625	19780	0.64846
12252246	676	18150	0.66502
12252246	729	16854	0.64922
12252246	784	15862	0.66295
12252246	841	14652	0.75161
12252246	900	13728	0.6583
12252246	961	12927	0.65255
12252246	1024	12060	0.7164
